plotID,easting,northing
JERC_001,740399.916,3453880.012
JERC_002,742021.248,3453938.071
JERC_003,740760.891,3454091.471
JERC_005,742859.747,3454119.36
JERC_006,742440.101,3453189.464
JERC_007,740462.097,3454359.947
JERC_008,742890.369,3454029.775
JERC_009,742321.144,3453998.505
JERC_010,741087.393,3455438.266
JERC_011,741269.053,3452889.058
JERC_016,740909.062,3452379.015
JERC_019,741028.943,3453130.635
JERC_030,740519.606,3452859.743
JERC_047,741332.787,3454358.277
JERC_048,741839.898,3454150.328
JERC_049,741630.545,3454149.321
JERC_050,741240.321,3454179.251
