siteID,plotType,subtype,plotID,plot_id,plotSize,plotDimens,referenceP,decimalLat,decimalLon,geodeticDa,utmZone,easting,northing,coordinate,elevation,elevationU,minimumEle,maximumEle,slopeGradi,slopeAspec
JERC,distributed,basePlot,JERC_001,JERC001,1600,40m x 40m,41,31.194318,-84.477078,WGS84,16N,740399.916,3453880.012,0.25,37.9,0.31,37.9,39.49,0,0
JERC,distributed,basePlot,JERC_002,JERC002,1600,40m x 40m,41,31.194506,-84.460063,WGS84,16N,742021.248,3453938.071,0.28,48.27,0.29,48.06,51.24,0,0
JERC,distributed,basePlot,JERC_003,JERC003,1600,40m x 40m,41,31.19615,-84.473242,WGS84,16N,740760.891,3454091.471,0.13,34.15,0.33,33.21,36.97,5.09,280.5
JERC,distributed,basePlot,JERC_005,JERC005,1600,40m x 40m,41,31.195967,-84.451227,WGS84,16N,742859.747,3454119.36,0.18,45.59,0.37,45.24,48.38,0,0
JERC,distributed,basePlot,JERC_006,JERC006,1600,40m x 40m,41,31.187672,-84.455851,WGS84,16N,742440.101,3453189.464,0.14,41.92,0.28,40.56,42.78,0,0
JERC,distributed,basePlot,JERC_007,JERC007,1600,40m x 40m,41,31.198631,-84.476311,WGS84,16N,740462.097,3454359.947,0.13,36.84,0.18,36.38,38.79,0,0
JERC,distributed,basePlot,JERC_008,JERC008,1600,40m x 40m,41,31.195153,-84.450927,WGS84,16N,742890.369,3454029.775,0.19,46.09,0.31,45.42,49.08,0,0
JERC,distributed,basePlot,JERC_009,JERC009,1600,40m x 40m,41,31.194989,-84.456904,WGS84,16N,742321.144,3453998.505,0.15,48.63,0.3,47.98,48.92,0,0
JERC,distributed,basePlot,JERC_010,JERC010,1600,40m x 40m,41,31.208222,-84.469495,WGS84,16N,741087.393,3455438.266,0.25,42.85,0.37,41.45,51.37,0,0
JERC,distributed,basePlot,JERC_011,JERC011,1600,40m x 40m,41,31.185206,-84.468202,WGS84,16N,741269.053,3452889.058,0.12,36.88,0.25,36.42,41.78,0,0
JERC,distributed,basePlot,JERC_016,JERC016,1600,40m x 40m,41,31.180683,-84.472099,WGS84,16N,740909.062,3452379.015,0.16,34.28,0.26,34.28,38.86,0,0
JERC,distributed,basePlot,JERC_019,JERC019,1600,40m x 40m,41,31.187433,-84.470662,WGS84,16N,741028.943,3453130.635,0.13,36.83,0.19,36.21,43.31,0,0
JERC,distributed,basePlot,JERC_030,JERC030,1600,40m x 40m,41,31.185096,-84.476067,WGS84,16N,740519.606,3452859.743,0.13,36.28,0.2,35.95,40.13,0,0
JERC,tower,basePlot,JERC_047,JERC047,1600,40m x 40m,41,31.198437,-84.467181,WGS84,16N,741332.787,3454358.277,0.13,35.28,0.19,34.86,37.83,2.23,319.43
JERC,tower,basePlot,JERC_048,JERC048,1600,40m x 40m,41,31.196457,-84.461913,WGS84,16N,741839.898,3454150.328,0.17,46.78,0.29,45.92,50.36,0,0
JERC,tower,basePlot,JERC_049,JERC049,1600,40m x 40m,41,31.196492,-84.464109,WGS84,16N,741630.545,3454149.321,0.24,46.48,0.29,44.77,49.06,0,0
JERC,tower,basePlot,JERC_050,JERC050,1600,40m x 40m,41,31.196842,-84.468194,WGS84,16N,741240.321,3454179.251,0.29,37.88,0.38,33.87,38.92,0,0
