siteID,plotType,subtype,plotID,Plot_ID,plotSize,plotDimens,referenceP,decimalLat,decimalLon,geodeticDa,utmZone,easting,northing,coordinate,elevation,elevationU,minimumEle,maximumEle,slopeGradi,slopeAspec
OSBS,distributed,basePlot,OSBS_001,OSBS001,1600,40m x 40m,41,29.70291400000,-82.00888100000,WGS84,17N,402404.65900000000,3286292.35200000000,0.14000000000,31.00000000000,0.23000000000,27.49000000000,34.04000000000,-0.29000000000,5
OSBS,distributed,basePlot,OSBS_002,OSBS002,1600,40m x 40m,41,29.70386000000,-81.95681700000,WGS84,17N,407442.28800000000,3286354.41100000000,0.18000000000,31.51000000000,0.17000000000,31.23000000000,34.69000000000,-0.57000000000,310
OSBS,distributed,basePlot,OSBS_003,OSBS003,1600,40m x 40m,41,29.69499200000,-81.94742000000,WGS84,17N,408343.23800000000,3285364.18700000000,0.12000000000,31.94000000000,0.20000000000,29.66000000000,34.22000000000,2.69000000000,103
OSBS,distributed,basePlot,OSBS_004,OSBS004,1600,40m x 40m,41,29.68407300000,-81.95910800000,WGS84,17N,407202.40500000000,3284163.58300000000,0.23000000000,36.84000000000,0.60000000000,36.84000000000,39.04000000000,-2.86000000000,26
OSBS,distributed,basePlot,OSBS_005,OSBS005,1600,40m x 40m,41,29.69656900000,-82.02557800000,WGS84,17N,400783.13000000000,3285603.46500000000,0.26000000000,30.25000000000,0.64000000000,26.10000000000,30.44000000000,-1.43000000000,350
OSBS,distributed,basePlot,OSBS_006,OSBS006,1600,40m x 40m,41,29.68660900000,-81.98300000000,WGS84,17N,404893.01400000000,3284464.00900000000,0.12000000000,33.02000000000,0.13000000000,32.64000000000,33.60000000000,-1.43000000000,25
OSBS,distributed,basePlot,OSBS_007,OSBS007,1600,40m x 40m,41,29.69027600000,-81.96257200000,WGS84,17N,406873.00700000000,3284853.75700000000,0.10000000000,34.31000000000,0.12000000000,31.36000000000,35.83000000000,-3.21000000000,90
OSBS,distributed,basePlot,OSBS_008,OSBS008,1600,40m x 40m,41,29.68505800000,-82.00716200000,WGS84,17N,402553.71000000000,3284312.21400000000,0.10000000000,45.20000000000,0.11000000000,44.15000000000,46.37000000000,-1.72000000000,330
OSBS,distributed,basePlot,OSBS_009,OSBS009,1600,40m x 40m,41,29.69879800000,-82.01754300000,WGS84,17N,401562.68000000000,3285843.57800000000,0.20000000000,31.45000000000,0.37000000000,25.72000000000,31.45000000000,-1.15000000000,180
OSBS,distributed,basePlot,OSBS_010,OSBS010,1600,40m x 40m,41,29.69176300000,-81.94182900000,WGS84,17N,408881.30800000000,3285001.99900000000,0.16000000000,40.06000000000,0.16000000000,38.79000000000,41.70000000000,-1.43000000000,6
OSBS,distributed,basePlot,OSBS_011,OSBS011,1600,40m x 40m,41,29.72150700000,-81.98704200000,WGS84,17N,404534.97000000000,3288334.42900000000,0.24000000000,27.17000000000,0.34000000000,26.58000000000,31.79000000000,-1.15000000000,118
OSBS,distributed,basePlot,OSBS_013,OSBS013,1600,40m x 40m,41,29.68215900000,-81.96156500000,WGS84,17N,406962.93500000000,3283953.46300000000,0.11000000000,42.25000000000,0.16000000000,41.04000000000,43.71000000000,-1.72000000000,10
OSBS,distributed,basePlot,OSBS_015,OSBS015,1600,40m x 40m,41,29.71025100000,-81.96927300000,WGS84,17N,406243.18000000000,3287072.57100000000,0.10000000000,25.64000000000,0.10000000000,25.25000000000,26.86000000000,0.57000000000,98
OSBS,distributed,basePlot,OSBS_016,OSBS016,1600,40m x 40m,41,29.68239100000,-81.96744900000,WGS84,17N,406393.81100000000,3283983.86300000000,0.19000000000,26.13000000000,0.24000000000,24.33000000000,32.86000000000,1.49000000000,96
OSBS,tower,basePlot,OSBS_025,OSBS025,1600,40m x 40m,41,29.69186700000,-81.99638400000,WGS84,17N,403603.11100000000,3285057.75300000000,0.10000000000,45.12000000000,0.10000000000,43.84000000000,45.64000000000,0.86000000000,90
OSBS,tower,basePlot,OSBS_026,OSBS026,1600,40m x 40m,41,29.69358400000,-81.99205700000,WGS84,17N,404023.39500000000,3285244.40800000000,0.10000000000,42.96000000000,0.14000000000,41.16000000000,45.67000000000,2.06000000000,100
OSBS,tower,basePlot,OSBS_027,OSBS027,1600,40m x 40m,41,29.69196900000,-81.99206300000,WGS84,17N,404021.27600000000,3285065.46800000000,0.12000000000,41.27000000000,0.21000000000,40.59000000000,43.92000000000,0.00000000000,217
OSBS,tower,basePlot,OSBS_028,OSBS028,1600,40m x 40m,41,29.68593300000,-81.99571800000,WGS84,17N,403661.84200000000,3284399.56100000000,0.10000000000,45.00000000000,0.10000000000,44.22000000000,46.11000000000,0.74000000000,0
OSBS,distributed,basePlot,OSBS_048,OSBS048,1600,40m x 40m,41,29.67929900000,-81.94635200000,WGS84,17N,408432.34900000000,3283624.43500000000,0.30000000000,34.62000000000,0.00000000000,34.08000000000,40.09000000000,0.00000000000,0
